Brand Name,Category,Subcategory,Website,Contact Email,Instagram Handle,LinkedIn URL,Notes,Status
Oura,Apps,Health,ouraring.com,press@ouraring.com,@ouraring,linkedin.com/company/oura,Sleep tracking ring,Prospect
Peloton,Apps,Health,onepeloton.com,press@onepeloton.com,@onepeloton,linkedin.com/company/peloton,Connected fitness,Prospect
Fitbit,Apps,Health,fitbit.com,press@fitbit.com,@fitbit,linkedin.com/company/fitbit,Wearables - Google owned,Prospect
Strava,Apps,Health,strava.com,press@strava.com,@strava,linkedin.com/company/strava,Running/cycling social,Prospect
Nike Training Club,Apps,Health,nike.com/ntc-app,press@nike.com,@niketraining,linkedin.com/company/nike,Workout app - Nike,Prospect
Alo Moves,Apps,Health,alomoves.com,press@aloyoga.com,@alomoves,linkedin.com/company/alo-moves,Yoga/wellness - premium,Prospect
Apple Fitness+,Apps,Health,apple.com/apple-fitness-plus,press@apple.com,@applefitnessplus,linkedin.com/company/apple,Apple ecosystem fitness,Prospect
Fabletics,Apps,Health,fabletics.com,press@fabletics.com,@fabletics,linkedin.com/company/fabletics,Activewear + app,Prospect
Eight Sleep,Apps,Health,eightsleep.com,press@eightsleep.com,@eightsleep,linkedin.com/company/eightsleep,Smart mattress,Prospect
Sleep Cycle,Apps,Health,sleepcycle.com,press@sleepcycle.com,@sleepcycle,linkedin.com/company/sleep-cycle,Sleep tracking app,Prospect
Hinge Health,Apps,Health,hingehealth.com,press@hingehealth.com,@hingehealth,linkedin.com/company/hinge-health,Physical therapy app,Prospect
BetterHelp,Apps,Health,betterhelp.com,press@betterhelp.com,@betterhelp,linkedin.com/company/betterhelp,Online therapy - big influencer spend,Prospect
Talkspace,Apps,Health,talkspace.com,press@talkspace.com,@talkspace,linkedin.com/company/talkspace,Online therapy,Prospect
Cerebral,Apps,Health,cerebral.com,press@cerebral.com,@getcerebral,linkedin.com/company/cerebral,Mental health,Prospect
Done,Apps,Health,donefirst.com,support@donefirst.com,@donefirst,linkedin.com/company/done-first,ADHD treatment,Prospect
Hims & Hers,Apps,Health,hims.com,press@forhims.com,@haborams,linkedin.com/company/hims,Telehealth - huge UGC budget,Prospect
Ro,Apps,Health,ro.co,press@ro.co,@ro,linkedin.com/company/ro-health,Telehealth,Prospect
Nurx,Apps,Health,nurx.com,press@nurx.com,@nuraborax,linkedin.com/company/nurx,Women's health,Prospect
Duolingo,Apps,Education,duolingo.com,press@duolingo.com,@duolingo,linkedin.com/company/duolingo,Language learning - viral brand,Prospect
Babbel,Apps,Education,babbel.com,press@babbel.com,@babbel,linkedin.com/company/babbel,Language learning,Prospect
Audible,Apps,Education,audible.com,press@audible.com,@audible,linkedin.com/company/audible,Audiobooks - Amazon,Prospect
Blinkist,Apps,Education,blinkist.com,press@blinkist.com,@blinkist,linkedin.com/company/blinkist,Book summaries,Prospect
MasterClass,Apps,Education,masterclass.com,press@masterclass.com,@masterclass,linkedin.com/company/masterclass,Online learning - celebrity,Prospect
Skillshare,Apps,Education,skillshare.com,press@skillshare.com,@skillshare,linkedin.com/company/skillshare,Creative learning,Prospect
Coursera,Apps,Education,coursera.org,press@coursera.org,@coursera,linkedin.com/company/coursera,Online courses,Prospect
LinkedIn Learning,Apps,Education,linkedin.com/learning,press@linkedin.com,@linkedinlearning,linkedin.com/company/linkedin,Professional development,Prospect
Brilliant,Apps,Education,brilliant.org,press@brilliant.org,@brilliantorg,linkedin.com/company/brilliant-org,Math/science learning,Prospect
Khan Academy,Apps,Education,khanacademy.org,press@khanacademy.org,@khanacademy,linkedin.com/company/khan-academy,Free education,Prospect
Rosetta Stone,Apps,Education,rosettastone.com,press@rosettastone.com,@rosettastone,linkedin.com/company/rosetta-stone,Language learning - classic,Prospect
Elevate,Apps,Education,elevateapp.com,support@elevateapp.com,@elevateapp,linkedin.com/company/elevate-labs,Brain training,Prospect
Lumosity,Apps,Education,lumosity.com,press@lumosity.com,@lumosity,linkedin.com/company/lumos-labs,Brain training,Prospect
Scribd,Apps,Education,scribd.com,press@scribd.com,@scribd,linkedin.com/company/scribd,Document/book subscription,Prospect
Medium,Apps,Education,medium.com,press@medium.com,@medium,linkedin.com/company/medium,Publishing platform,Prospect
Robinhood,Finance,Investing,robinhood.com,press@robinhood.com,@robinhood,linkedin.com/company/robinhood,Commission-free trading - GenX loves,Prospect
Acorns,Finance,Investing,acorns.com,press@acorns.com,@acorns,linkedin.com/company/acorns,Micro-investing,Prospect
Betterment,Finance,Investing,betterment.com,press@betterment.com,@betterment,linkedin.com/company/betterment,Robo-advisor,Prospect
Wealthfront,Finance,Investing,wealthfront.com,press@wealthfront.com,@wealthfront,linkedin.com/company/wealthfront,Robo-advisor,Prospect
Stash,Finance,Investing,stash.com,press@stash.com,@stash,linkedin.com/company/stash-financial,Banking + investing,Prospect
Public,Finance,Investing,public.com,press@public.com,@public,linkedin.com/company/public-holdings,Social investing,Prospect
M1 Finance,Finance,Investing,m1.com,press@m1finance.com,@m1_finance,linkedin.com/company/m1-finance,Automated investing,Prospect
Webull,Finance,Investing,webull.com,press@webull.com,@webaborall,linkedin.com/company/webull,Commission-free trading,Prospect
SoFi,Finance,Investing,sofi.com,press@sofi.com,@sofi,linkedin.com/company/sofi,Financial services - huge brand,Prospect
Fidelity,Finance,Investing,fidelity.com,press@fidelity.com,@fidelity,linkedin.com/company/fidelity,Investment giant,Prospect
Charles Schwab,Finance,Investing,schwab.com,press@schwab.com,@charlesschwab,linkedin.com/company/charles-schwab,Investment giant,Prospect
Vanguard,Finance,Investing,vanguard.com,press@vanguard.com,@vaboraanguard_group,linkedin.com/company/vanguard,Investment giant,Prospect
TD Ameritrade,Finance,Investing,tdameritrade.com,press@tdameritrade.com,@tdameritrade,linkedin.com/company/td-ameritrade,Trading platform,Prospect
E*TRADE,Finance,Investing,etrade.com,press@etrade.com,@etrade,linkedin.com/company/etrade,Trading platform,Prospect
Interactive Brokers,Finance,Investing,interactivebrokers.com,press@ibkr.com,@ibkr,linkedin.com/company/interactive-brokers,Advanced trading,Prospect
Fundrise,Finance,Investing,fundrise.com,press@fundrise.com,@fundrise,linkedin.com/company/fundrise,Real estate investing,Prospect
Yieldstreet,Finance,Investing,yieldstreet.com,press@yieldstreet.com,@yieldstreet,linkedin.com/company/yieldstreet,Alternative investing,Prospect
Coinbase,Finance,Crypto,coinbase.com,press@coinbase.com,@coinbase,linkedin.com/company/coinbase,Crypto exchange - mainstream,Prospect
Kraken,Finance,Crypto,kraken.com,press@kraken.com,@kaboraakenfx,linkedin.com/company/kraken-exchange,Crypto exchange,Prospect
Gemini,Finance,Crypto,gemini.com,press@gemini.com,@gemini,linkedin.com/company/gemini,Crypto - Winklevoss,Prospect
BlockFi,Finance,Crypto,blockfi.com,press@blockfi.com,@blockfi,linkedin.com/company/blockfi,Crypto lending,Prospect
Crypto.com,Finance,Crypto,crypto.com,press@crypto.com,@cryptocom,linkedin.com/company/cryptocom,Crypto exchange,Prospect
Chime,Finance,Banking,chime.com,press@chime.com,@chaborame,linkedin.com/company/chime,No-fee banking - GenX friendly,Prospect
Current,Finance,Banking,current.com,press@current.com,@current,linkedin.com/company/current-app,Mobile banking,Prospect
Varo,Finance,Banking,varomoney.com,press@varomoney.com,@varobank,linkedin.com/company/varo-money,Mobile bank,Prospect
Ally Bank,Finance,Banking,ally.com,press@ally.com,@allybank,linkedin.com/company/ally-financial,Online banking,Prospect
Marcus by Goldman Sachs,Finance,Banking,marcus.com,press@marcus.com,@marcusbygoldmansachs,linkedin.com/company/marcus-by-gs,High-yield savings,Prospect
Discover Bank,Finance,Banking,discover.com,press@discover.com,@discover,linkedin.com/company/discover,Banking + cards,Prospect
Capital One,Finance,Banking,capitalone.com,press@capitalone.com,@capitalone,linkedin.com/company/capital-one,Banking giant,Prospect
Axos Bank,Finance,Banking,axosbank.com,press@axosbank.com,@axosbank,linkedin.com/company/axos-bank,Online bank,Prospect
YNAB,Finance,Budgeting,ynab.com,press@ynab.com,@ynab,linkedin.com/company/ynab,Zero-based budgeting - cult following,Prospect
Mint,Finance,Budgeting,mint.intuit.com,press@intuit.com,@mint,linkedin.com/company/mint,Budgeting - Intuit,Prospect
Personal Capital,Finance,Budgeting,personalcapital.com,press@personalcapital.com,@personalcapital,linkedin.com/company/personal-capital,Wealth management,Prospect
Empower,Finance,Budgeting,empower.com,press@empower.com,@empower,linkedin.com/company/empower-retirement,Retirement + budgeting,Prospect
Quicken,Finance,Budgeting,quicken.com,press@quicken.com,@quicken,linkedin.com/company/quicken,Classic finance software,Prospect
Rocket Money,Finance,Budgeting,rocketmoney.com,press@rocketmoney.com,@rocketmoney,linkedin.com/company/rocket-money,Bill negotiation - formerly Truebill,Prospect
Copilot,Finance,Budgeting,copilot.money,support@copilot.money,@copilotmoney,linkedin.com/company/copilot-money,Modern budgeting app,Prospect
Monarch Money,Finance,Budgeting,monarchmoney.com,support@monarchmoney.com,@monarchmoney,linkedin.com/company/monarch-money,Family finance,Prospect
Chase,Finance,Credit Cards,chase.com,press@chase.com,@chase,linkedin.com/company/chase,Banking giant - Sapphire cards,Prospect
American Express,Finance,Credit Cards,americanexpress.com,press@aexp.com,@amex,linkedin.com/company/american-express,Premium cards,Prospect
Citi,Finance,Credit Cards,citi.com,press@citi.com,@citi,linkedin.com/company/citi,Banking giant,Prospect
Bank of America,Finance,Credit Cards,bankofamerica.com,press@bofa.com,@bankofamerica,linkedin.com/company/bank-of-america,Banking giant,Prospect
Wells Fargo,Finance,Credit Cards,wellsfargo.com,press@wellsfargo.com,@wellsfargo,linkedin.com/company/wells-fargo,Banking giant,Prospect
US Bank,Finance,Credit Cards,usbank.com,press@usbank.com,@usbank,linkedin.com/company/us-bank,Regional bank,Prospect
Barclays,Finance,Credit Cards,barclays.com,press@barclays.com,@barclays,linkedin.com/company/barclays,International bank,Prospect
Synchrony,Finance,Credit Cards,synchrony.com,press@synchrony.com,@synchrony,linkedin.com/company/synchrony-financial,Store cards,Prospect
Upgrade,Finance,Credit Cards,upgrade.com,press@upgrade.com,@upgaboraade,linkedin.com/company/upgrade-inc,Credit line + card,Prospect
Petal,Finance,Credit Cards,petalcard.com,press@petalcard.com,@petalcard,linkedin.com/company/petal-card,No-fee building credit,Prospect
Lemonade,Finance,Insurance,lemonade.com,press@lemonade.com,@laboraemonade_inc,linkedin.com/company/lemonade-inc,AI insurance - GenX appeal,Prospect
Hippo,Finance,Insurance,hippo.com,press@hippo.com,@gethippo,linkedin.com/company/hippo-insurance,Smart home insurance,Prospect
Root Insurance,Finance,Insurance,root.com,press@root.com,@rootinsurance,linkedin.com/company/root-insurance,Driving-based rates,Prospect
Metromile,Finance,Insurance,metromile.com,press@metromile.com,@metaboraomile,linkedin.com/company/metromile,Pay-per-mile,Prospect
Bestow,Finance,Insurance,bestow.com,press@bestow.com,@bestowlife,linkedin.com/company/bestow,No-exam life insurance,Prospect
Ladder,Finance,Insurance,ladderlife.com,press@ladderlife.com,@ladderlife,linkedin.com/company/ladder-insurance,Digital life insurance,Prospect
Haven Life,Finance,Insurance,havenlife.com,press@havenlife.com,@havenlife,linkedin.com/company/haven-life,MassMutual backed,Prospect
Ethos,Finance,Insurance,ethoslife.com,press@ethoslife.com,@ethoslife,linkedin.com/company/ethos-life,No-exam life insurance,Prospect
Policygenius,Finance,Insurance,policygenius.com,press@policygenius.com,@policygenius,linkedin.com/company/policygenius,Insurance marketplace,Prospect
NEXT Insurance,Finance,Insurance,nextinsurance.com,press@nextinsurance.com,@nextinsurance,linkedin.com/company/next-insurance,Small business insurance,Prospect
Liberty Mutual,Finance,Insurance,libertymutual.com,press@libertymutual.com,@libertymutual,linkedin.com/company/liberty-mutual,Insurance giant,Prospect
State Farm,Finance,Insurance,statefarm.com,press@statefarm.com,@statefarm,linkedin.com/company/state-farm,Insurance giant,Prospect
Allstate,Finance,Insurance,allstate.com,press@allstate.com,@allstate,linkedin.com/company/allstate,Insurance giant,Prospect
Progressive,Finance,Insurance,progressive.com,press@progressive.com,@progressive,linkedin.com/company/progressive-insurance,Insurance giant,Prospect
Geico,Finance,Insurance,geico.com,press@geico.com,@geico,linkedin.com/company/geico,Berkshire backed,Prospect
USAA,Finance,Insurance,usaa.com,press@usaa.com,@usaa,linkedin.com/company/usaa,Military families,Prospect
Guideline,Finance,Retirement,guideline.com,press@guideline.com,@lifeaborguideline,linkedin.com/company/guideline,401k for SMBs,Prospect
Human Interest,Finance,Retirement,humaninterest.com,press@humaninterest.com,@humaninterest,linkedin.com/company/human-interest,401k platform,Prospect
Betterment at Work,Finance,Retirement,betterment.com/work,press@betterment.com,@betterment,linkedin.com/company/betterment,401k robo-advisor,Prospect
Ring,Smart Home,Security,ring.com,press@ring.com,@ring,linkedin.com/company/ring,Doorbells - Amazon owned,Prospect
SimpliSafe,Smart Home,Security,simplisafe.com,press@simplisafe.com,@simplisafe,linkedin.com/company/simplisafe,DIY security - big UGC spend,Prospect
ADT,Smart Home,Security,adt.com,press@adt.com,@adt,linkedin.com/company/adt,Security giant,Prospect
Vivint,Smart Home,Security,vivint.com,press@vivint.com,@vivint,linkedin.com/company/vivint,Smart home security,Prospect
Abode,Smart Home,Security,goabode.com,press@goabode.com,@goabode,linkedin.com/company/abode-systems,DIY security,Prospect
Wyze,Smart Home,Security,wyze.com,press@wyze.com,@wyze,linkedin.com/company/wyze-labs,Budget smart home - huge,Prospect
Arlo,Smart Home,Security,arlo.com,press@arlo.com,@aboralo,linkedin.com/company/arlo-technologies,Wireless cameras,Prospect
Blink,Smart Home,Security,blinkforhome.com,press@amazon.com,@blinkforhome,linkedin.com/company/blink-home,Budget cameras - Amazon,Prospect
Eufy,Smart Home,Security,eufylife.com,press@eufylife.com,@eufyofficial,linkedin.com/company/eufy,Anker brand - great value,Prospect
Lorex,Smart Home,Security,lorex.com,press@lorex.com,@loraboraextechnology,linkedin.com/company/lorex-technology,Security cameras,Prospect
Reolink,Smart Home,Security,reolink.com,support@reolink.com,@reolinktech,linkedin.com/company/reolink,POE cameras,Prospect
Swann,Smart Home,Security,swann.com,press@swann.com,@swannsecurity,linkedin.com/company/swann-security,Security cameras,Prospect
Kangaroo,Smart Home,Security,heykangaroo.com,press@heykangaroo.com,@heykangaroo,linkedin.com/company/kangaroo-home,Budget security,Prospect
Cove,Smart Home,Security,covesmart.com,press@covesmart.com,@covesmart,linkedin.com/company/cove-smart,DIY security,Prospect
Scout,Smart Home,Security,scoutalarm.com,press@scoutalarm.com,@scoutalarm,linkedin.com/company/scout-security,DIY security,Prospect
Frontpoint,Smart Home,Security,frontpointsecurity.com,press@frontpoint.com,@frontpoint,linkedin.com/company/frontpoint-security,Home security,Prospect
Brinks Home,Smart Home,Security,brinkshome.com,press@brinkshome.com,@brinkshome,linkedin.com/company/brinks-home,Professional monitoring,Prospect
Blue by ADT,Smart Home,Security,bluebyadt.com,press@adt.com,@bluebyadt,linkedin.com/company/adt,ADT DIY option,Prospect
Nest,Smart Home,Hub,store.google.com/nest,press@google.com,@googlenest,linkedin.com/company/google,Google smart home,Prospect
Amazon Echo,Smart Home,Hub,amazon.com/echo,press@amazon.com,@amazonecho,linkedin.com/company/amazon,Alexa ecosystem,Prospect
Apple HomePod,Smart Home,Hub,apple.com/homepod,press@apple.com,@apple,linkedin.com/company/apple,Apple ecosystem,Prospect
Samsung SmartThings,Smart Home,Hub,smartthings.com,press@samsung.com,@smartthings,linkedin.com/company/smartthings,Samsung hub,Prospect
Hubitat,Smart Home,Hub,hubitat.com,support@hubitat.com,@hubaboraat,linkedin.com/company/hubitat,Local processing,Prospect
Home Assistant,Smart Home,Hub,home-assistant.io,hello@home-assistant.io,@home_assistant,linkedin.com/company/home-assistant,Open source,Prospect
Wink,Smart Home,Hub,wink.com,support@wink.com,@waboraink,linkedin.com/company/wink,Smart hub,Prospect
Philips Hue,Smart Home,Lighting,philips-hue.com,press@signify.com,@philipshue,linkedin.com/company/signify,Premium smart lighting,Prospect
LIFX,Smart Home,Lighting,lifx.com,press@lifx.com,@lifx,linkedin.com/company/lifx,No-hub bulbs,Prospect
Nanoleaf,Smart Home,Lighting,nanoleaf.me,press@nanoleaf.me,@nanoleaf,linkedin.com/company/nanoleaf,Decorative panels,Prospect
Govee,Smart Home,Lighting,govee.com,marketing@govee.com,@govee_official,linkedin.com/company/govee,Budget RGB - huge,Prospect
Sengled,Smart Home,Lighting,sengled.com,press@sengled.com,@sengledusa,linkedin.com/company/sengled,Budget bulbs,Prospect
TP-Link Kasa,Smart Home,Lighting,kasasmart.com,press@tp-link.com,@kasasmart,linkedin.com/company/tp-link,Smart plugs + bulbs,Prospect
Wyze Bulb,Smart Home,Lighting,wyze.com,press@wyze.com,@wyze,linkedin.com/company/wyze-labs,Budget bulbs,Prospect
Cree Lighting,Smart Home,Lighting,creelighting.com,info@creelighting.com,@creelighting,linkedin.com/company/cree-lighting,LED specialist,Prospect
GE CYNC,Smart Home,Lighting,gelighting.com,press@gelighting.com,@gecync,linkedin.com/company/ge-lighting,GE smart lighting,Prospect
Lutron Caseta,Smart Home,Lighting,lutron.com,press@lutron.com,@lutronelec,linkedin.com/company/lutron-electronics,Smart switches - premium,Prospect
Wiz,Smart Home,Lighting,wizconnected.com,press@signify.com,@wizlights,linkedin.com/company/wiz,Signify budget brand,Prospect
C by GE,Smart Home,Lighting,cbyge.com,press@gelighting.com,@cbyge,linkedin.com/company/ge-lighting,GE connected,Prospect
Ikea Tradfri,Smart Home,Lighting,ikea.com,press@ikea.com,@ikeausa,linkedin.com/company/ikea,Budget smart home,Prospect
Feit Electric,Smart Home,Lighting,feit.com,info@feit.com,@feitelectric,linkedin.com/company/feit-electric,Budget bulbs,Prospect
Nest Thermostat,Smart Home,Climate,store.google.com/nest,press@google.com,@googlenest,linkedin.com/company/google,Learning thermostat,Prospect
Ecobee,Smart Home,Climate,ecobee.com,press@ecobee.com,@ecobee,linkedin.com/company/ecobee,Smart thermostat - top rated,Prospect
Honeywell Home,Smart Home,Climate,honeywellhome.com,press@resideo.com,@honeywellhome,linkedin.com/company/resideo,Classic brand - smart,Prospect
Sensi,Smart Home,Climate,sensi.com,support@sensi.com,@sensismartthermo,linkedin.com/company/emerson,Emerson brand,Prospect
Mysa,Smart Home,Climate,getmysa.com,press@getmysa.com,@getmysa,linkedin.com/company/mysa-smart-thermostats,Baseboard heater smart,Prospect
Cielo,Smart Home,Climate,cielowigle.com,support@cielowigle.com,@cielowigle,linkedin.com/company/cielo-wigle,Mini split controller,Prospect
Sensibo,Smart Home,Climate,sensibo.com,press@sensibo.com,@sensaborabo,linkedin.com/company/sensibo,AC controller,Prospect
Tado,Smart Home,Climate,tado.com,press@tado.com,@taboraado,linkedin.com/company/tado,European smart climate,Prospect
Ambi Climate,Smart Home,Climate,ambiclimate.com,hello@ambiclimate.com,@ambiclimate,linkedin.com/company/ambi-labs,AI climate control,Prospect
Emerson Sensi,Smart Home,Climate,sensi.com,support@sensi.com,@sensismartthermo,linkedin.com/company/emerson,Smart thermostat,Prospect
iRobot Roomba,Smart Home,Appliances,irobot.com,press@irobot.com,@irobot,linkedin.com/company/irobot,Robot vacuum leader,Prospect
Roborock,Smart Home,Appliances,roborock.com,marketing@roborock.com,@roaboraobor_ockglobal,linkedin.com/company/roborock,Premium robot vac,Prospect
Ecovacs,Smart Home,Appliances,ecovacs.com,marketing@ecovacs.com,@ecovacsrobotics,linkedin.com/company/ecovacs,Robot vacuums,Prospect
Shark,Smart Home,Appliances,sharkclean.com,press@sharkninja.com,@sharkaboracleaning,linkedin.com/company/sharkninja,Robot + regular vacuums,Prospect
iLife,Smart Home,Appliances,iliferobot.com,support@iliferobot.com,@iliferobot,linkedin.com/company/ilife,Budget robot vacuum,Prospect
Eufy RoboVac,Smart Home,Appliances,eufylife.com,press@eufylife.com,@eufyofficial,linkedin.com/company/eufy,Budget robot vacuum,Prospect
Dreame,Smart Home,Appliances,dreametech.com,marketing@dreame.tech,@dreaboraametech,linkedin.com/company/dreame-technology,Robot vacuum,Prospect
Narwal,Smart Home,Appliances,narwal.com,marketing@narwal.com,@narwalrobotics,linkedin.com/company/narwal,Self-cleaning mop,Prospect
Dyson,Smart Home,Appliances,dyson.com,press@dyson.com,@dyson,linkedin.com/company/dyson,Premium appliances,Prospect
Samsung Jet Bot,Smart Home,Appliances,samsung.com,press@samsung.com,@samsungus,linkedin.com/company/samsung,Samsung robot vac,Prospect
LG CordZero,Smart Home,Appliances,lg.com,press@lg.com,@lgusa,linkedin.com/company/lg,LG robot vacuum,Prospect
Bissell,Smart Home,Appliances,bissell.com,press@bissell.com,@bissell,linkedin.com/company/bissell,Cleaning appliances,Prospect
Tineco,Smart Home,Appliances,tineco.com,marketing@tineco.com,@tineco_global,linkedin.com/company/tineco,Floor cleaners,Prospect
Yeedi,Smart Home,Appliances,yeedi.com,marketing@yeedi.com,@yeediglobal,linkedin.com/company/yeedi,Budget Ecovacs brand,Prospect
Neato,Smart Home,Appliances,neatorobotics.com,press@neatorobotics.com,@neatorobotics,linkedin.com/company/neato-robotics,D-shape vacuum,Prospect
Bobsweep,Smart Home,Appliances,bobsweep.com,support@bobsweep.com,@bobsweep,linkedin.com/company/bobsweep,Robot vacuum,Prospect
August,Smart Home,Locks,august.com,press@august.com,@augusthome,linkedin.com/company/august-home,Smart locks - Yale owned,Prospect
Yale,Smart Home,Locks,yalehome.com,press@assaabloy.com,@yaboraalehome,linkedin.com/company/yale-locks,Smart locks,Prospect
Schlage,Smart Home,Locks,schlage.com,press@allegion.com,@schlagaborae,linkedin.com/company/schlage,Smart locks,Prospect
Kwikset,Smart Home,Locks,kwikset.com,press@kwikset.com,@kwikset,linkedin.com/company/kwikset,Smart locks,Prospect
Level Lock,Smart Home,Locks,level.co,press@level.co,@levelhome,linkedin.com/company/level-home,Invisible smart lock,Prospect
Ultraloq,Smart Home,Locks,u-tec.com,support@u-tec.com,@ultraloq,linkedin.com/company/u-tec,Fingerprint lock,Prospect
